occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
23,23_2011,Paralegals and Legal Assistants,39.07638327,63.5858141,24.50943084,Bachelor Degree,3,2,0,1,0,1,0,0,235060,247940,277310,39076.36433,49640,53180,34205,46680,49500
23,23_2091,Court Reporters,56.37961025,72.13243026,15.75282001,Secondary or below,3,2,0,1,0,1,0,0,15270,18430,17700,44910,53270,56940,41550,47700,51320
25,25_1021,"Computer Science Teachers, Postsecondary",82.53620577,84.12085786,1.584652084,Advanced Degree,3,3,1,0,0,1,0,0,32990,33080,32540,55330,78190,89670,49860,70300,77570
25,25_1022,"Mathematical Science Teachers, Postsecondary",46.70580653,64.62921879,17.92341226,Advanced Degree,3,2,0,1,0,1,0,0,41140,51980,52020,55060,73480,82650,50280,65710,69520
25,25_1032,"Engineering Teachers, Postsecondary",53.38090616,70.42646576,17.0455596,Advanced Degree,3,2,0,1,0,1,0,0,29310,34400,38000,73100,96480,107490,68390,89670,97530
25,25_1041,"Agricultural Sciences Teachers, Postsecondary",36.04363777,69.44034677,33.396709,Advanced Degree,3,2,0,1,0,1,0,0,11070,10600,10340,67660,81760,96630,65990,78370,91580
25,25_1042,"Biological Science Teachers, Postsecondary",36.04363777,64.90349099,28.85985322,Advanced Degree,3,2,0,1,0,1,0,0,47150,54540,50820,67750,86570,90420,55600,72700,76650
25,25_1043,"Forestry and Conservation Science Teachers, Postsecondary",36.04363777,69.34268842,33.29905065,Advanced Degree,3,2,0,1,0,1,0,0,2350,2410,1750,68030,81120,90480,65680,78290,85880
25,25_1052,"Chemistry Teachers, Postsecondary",47.21606562,63.50379548,16.28772987,Advanced Degree,3,2,0,1,0,1,0,0,17670,21150,21250,60800,80070,89320,54960,70520,76750
25,25_1054,"Physics Teachers, Postsecondary",40.51614663,77.40876242,36.89261579,Advanced Degree,3,2,0,1,0,1,0,0,11940,13500,14160,66960,86560,97520,62640,77610,84570
